Vintage,Product Name,Producer,Country,Region,Colour,Quantity,Format,Price (GBP),Duty,Availability,Conditions,ImageUrl
2009,Connetable de Talbot,Talbot,France,Bordeaux,Red,2,12x75cl,378.00,IB,marketplace,,
2011,Connetable de Talbot,Talbot,France,Bordeaux,Red,1,12x75cl,285.00,IB,marketplace,,
2012,Connetable de Talbot,Talbot,France,Bordeaux,Red,7,12x75cl,279.00,IB,marketplace,,
2007,Beausejour,Haut-Beausejour,France,Bordeaux,Red,1,6x75cl,372.00,IB,marketplace,,
2011,Beausejour,Haut-Beausejour,France,Bordeaux,Red,2,6x75cl,407.00,IB,marketplace,,
1997,Bin 707,Penfolds,Australia,South Australia,Red,1,Bts,253.00,DP,immediate,Label: Slightly Bin Soiled,
2008,Bin 707,Penfolds,Australia,South Australia,Red,6,Bts,330.00,IB,marketplace,,
2009,Bin 707,Penfolds,Australia,South Australia,Red,1,6x75cl,1818.00,IB,immediate,,
2010,Pouilly Fuisse Les Combettes,Château Fuissé,France,Burgundy,White,3,Bts,68.00,IB,immediate,"Packaging: Non-original packaging, Import Label: New Zealand",
2005,Ruchottes Chambertin,Domaine G. Roumier,France,Burgundy,Red,3,Bts,1708.00,IB,marketplace,,
2009,Ruchottes Chambertin,Domaine G. Roumier,France,Burgundy,Red,2,Bts,1669.00,IB,marketplace,,
2010,Ruchottes Chambertin,Domaine G. Roumier,France,Burgundy,Red,3,Bts,1813.00,IB,marketplace,,
2011,Ruchottes Chambertin,Domaine G. Roumier,France,Burgundy,Red,3,Bts,1155.00,IB,marketplace,,
1995,Ruchottes Chambertin,Domaine Georges Mugneret-Gibourg,France,Burgundy,Red,4,Bts,1190.00,IB,marketplace,,
1996,Ruchottes Chambertin,Domaine Georges Mugneret-Gibourg,France,Burgundy,Red,2,Bts,1421.00,IB,marketplace,,
1996,Ruchottes Chambertin,Domaine Georges Mugneret-Gibourg,France,Burgundy,Red,5,Hlvs,729.00,IB,marketplace,,
1998,Ruchottes Chambertin,Domaine Georges Mugneret-Gibourg,France,Burgundy,Red,3,Bts,1457.00,IB,marketplace,,
2005,Ruchottes Chambertin,Domaine Georges Mugneret-Gibourg,France,Burgundy,Red,4,Bts,2120.00,IB,marketplace,,
2008,Ruchottes Chambertin,Domaine Georges Mugneret-Gibourg,France,Burgundy,Red,2,Bts,1468.00,IB,marketplace,,
2010,Ruchottes Chambertin,Domaine Georges Mugneret-Gibourg,France,Burgundy,Red,2,Bts,2449.00,IB,marketplace,,
2011,Ruchottes Chambertin,Domaine Georges Mugneret-Gibourg,France,Burgundy,Red,9,Bts,1256.00,IB,marketplace,,
2011,Ruchottes Chambertin,Domaine Georges Mugneret-Gibourg,France,Burgundy,Red,1,Mags,2514.00,IB,marketplace,,
2000,Ruchottes Chambertin,Frederic Esmonin,France,Burgundy,Red,12,Bts,168.00,IB,marketplace,,
2001,Ruchottes Chambertin,Domaine Armand Rousseau,France,Burgundy,Red,1,Bts,1283.00,IB,marketplace,,
2005,Ruchottes Chambertin,Domaine Armand Rousseau,France,Burgundy,Red,3,Bts,1702.00,IB,marketplace,,
2005,Ruchottes Chambertin,Domaine Armand Rousseau,France,Burgundy,Red,1,6x75cl,10226.00,IB,marketplace,,
2010,Ruchottes Chambertin,Domaine Armand Rousseau,France,Burgundy,Red,2,Bts,2010.00,IB,marketplace,,
1994,Barolo Le Vigne,Luciano Sandrone,Italy,Northern Italy,Red,1,Mags,192.00,IB,marketplace,,
1996,Barolo Le Vigne,Luciano Sandrone,Italy,Northern Italy,Red,5,Bts,178.00,IB,marketplace,,
1998,Barolo Le Vigne,Luciano Sandrone,Italy,Northern Italy,Red,6,Bts,166.00,IB,marketplace,,
1998,Barolo Le Vigne,Luciano Sandrone,Italy,Northern Italy,Red,1,6x75cl,985.00,IB,marketplace,,
2000,Barolo Le Vigne,Luciano Sandrone,Italy,Northern Italy,Red,2,12x75cl,1403.00,IB,marketplace,,
2006,Barolo Le Vigne,Luciano Sandrone,Italy,Northern Italy,Red,1,Bts,147.00,IB,marketplace,,
2006,Barolo Le Vigne,Luciano Sandrone,Italy,Northern Italy,Red,1,Mags,290.00,IB,marketplace,,
2006,Barolo Le Vigne,Luciano Sandrone,Italy,Northern Italy,Red,1,3L,593.00,IB,immediate,,
2007,Barolo Le Vigne,Luciano Sandrone,Italy,Northern Italy,Red,3,6x75cl,747.00,IB,marketplace,,
2007,Barolo Le Vigne,Luciano Sandrone,Italy,Northern Italy,Red,1,6x75cl,747.00,DP,marketplace,,
2008,Barolo Le Vigne,Luciano Sandrone,Italy,Northern Italy,Red,1,6x75cl,717.00,IB,marketplace,,
2009,Barolo Le Vigne,Luciano Sandrone,Italy,Northern Italy,Red,1,12x75cl,1166.00,IB,marketplace,,
2009,Barolo Le Vigne,Luciano Sandrone,Italy,Northern Italy,Red,6,Bts,100.00,IB,marketplace,,
2009,Barolo Le Vigne,Luciano Sandrone,Italy,Northern Italy,Red,3,6x75cl,583.00,IB,marketplace,,
0,Yquem,d'Yquem,France,Bordeaux,White,1,Bts,271.00,IB,marketplace,,
1891,Yquem,d'Yquem,France,Bordeaux,White,1,Bts,9481.00,IB,marketplace,,
1893,Yquem,d'Yquem,France,Bordeaux,White,2,Bts,10441.00,IB,marketplace,,
1893,Yquem,d'Yquem,France,Bordeaux,White,2,Bts,10441.00,DP,marketplace,,
1900,Yquem,d'Yquem,France,Bordeaux,White,1,Bts,8323.00,DP,marketplace,,
1900,Yquem,d'Yquem,France,Bordeaux,White,2,Bts,8323.00,IB,marketplace,,
1901,Yquem,d'Yquem,France,Bordeaux,White,1,Bts,7508.00,IB,marketplace,,
1908,Yquem,d'Yquem,France,Bordeaux,White,1,Bts,7111.00,IB,marketplace,,
1909,Yquem,d'Yquem,France,Bordeaux,White,1,Bts,9172.00,IB,marketplace,,
1911,Yquem,d'Yquem,France,Bordeaux,White,2,Bts,7519.00,IB,marketplace,,
1914,Yquem,d'Yquem,France,Bordeaux,White,2,Bts,4468.00,IB,marketplace,,
1920,Yquem,d'Yquem,France,Bordeaux,White,2,Bts,3992.00,IB,marketplace,,
1921,Yquem,d'Yquem,France,Bordeaux,White,1,Bts,8694.00,IB,marketplace,,
1927,Yquem,d'Yquem,France,Bordeaux,White,4,Bts,2564.00,IB,marketplace,,
1933,Yquem,d'Yquem,France,Bordeaux,White,2,Bts,1559.00,IB,marketplace,,
1934,Yquem,d'Yquem,France,Bordeaux,White,1,Bts,3131.00,IB,marketplace,,
1940,Yquem,d'Yquem,France,Bordeaux,White,1,Bts,1202.00,IB,marketplace,,
1941,Yquem,d'Yquem,France,Bordeaux,White,1,Bts,1332.00,IB,marketplace,,
1942,Yquem,d'Yquem,France,Bordeaux,White,1,Bts,1664.00,IB,marketplace,,
1947,Yquem,d'Yquem,France,Bordeaux,White,1,Bts,1615.00,IB,marketplace,,
1948,Yquem,d'Yquem,France,Bordeaux,White,1,Bts,1365.00,IB,marketplace,,
1949,Yquem,d'Yquem,France,Bordeaux,White,2,Bts,2494.00,IB,marketplace,,
1949,Yquem,d'Yquem,France,Bordeaux,White,1,Bts,2494.00,DP,marketplace,,
1950,Yquem,d'Yquem,France,Bordeaux,White,3,Bts,1665.00,IB,marketplace,,
1955,Yquem,d'Yquem,France,Bordeaux,White,3,Bts,1407.00,IB,marketplace,,
1955,Yquem,d'Yquem,France,Bordeaux,White,1,3x75cl,4221.00,IB,marketplace,,
1956,Yquem,d'Yquem,France,Bordeaux,White,1,Bts,830.00,IB,marketplace,,
1960,Yquem,d'Yquem,France,Bordeaux,White,3,Bts,1401.00,IB,marketplace,,
1961,Yquem,d'Yquem,France,Bordeaux,White,1,Bts,1091.00,IB,marketplace,,
1967,Yquem,d'Yquem,France,Bordeaux,White,1,12x75cl,15944.00,IB,marketplace,,
1967,Yquem,d'Yquem,France,Bordeaux,White,3,Bts,1329.00,IB,marketplace,,
1967,Yquem,d'Yquem,France,Bordeaux,White,1,Bts,1329.00,DP,marketplace,,
1971,Yquem,d'Yquem,France,Bordeaux,White,1,Bts,2841.00,DP,marketplace,,
1971,Yquem,d'Yquem,France,Bordeaux,White,2,Bts,2841.00,IB,marketplace,,
1976,Yquem,d'Yquem,France,Bordeaux,White,3,Bts,513.00,IB,marketplace,,
1986,Yquem,d'Yquem,France,Bordeaux,White,1,Bts,329.00,IB,marketplace,,
1986,Yquem,d'Yquem,France,Bordeaux,White,1,12x37.5cl,2021.00,DP,marketplace,,
1989,Yquem,d'Yquem,France,Bordeaux,White,2,Bts,353.00,IB,marketplace,,
1990,Yquem,d'Yquem,France,Bordeaux,White,1,Bts,300.00,DP,marketplace,,
1991,Yquem,d'Yquem,France,Bordeaux,White,9,Bts,286.00,IB,marketplace,,
1991,Yquem,d'Yquem,France,Bordeaux,White,14,6x75cl,1708.00,IB,marketplace,,
1994,Yquem,d'Yquem,France,Bordeaux,White,1,Bts,317.00,IB,marketplace,,
1994,Yquem,d'Yquem,France,Bordeaux,White,1,3x75cl,952.00,IB,marketplace,,
1995,Yquem,d'Yquem,France,Bordeaux,White,1,6x75cl,1513.00,IB,immediate,,
1999,Yquem,d'Yquem,France,Bordeaux,White,1,Hlvs,137.00,IB,marketplace,,
1999,Yquem,d'Yquem,France,Bordeaux,White,1,Bts,263.00,IB,marketplace,,
2000,Yquem,d'Yquem,France,Bordeaux,White,2,Bts,297.00,IB,marketplace,Label: Damaged,
2004,Yquem,d'Yquem,France,Bordeaux,White,2,Bts,278.00,IB,marketplace,,
2005,Yquem,d'Yquem,France,Bordeaux,White,3,12x75cl,4795.00,IB,marketplace,,
2005,Yquem,d'Yquem,France,Bordeaux,White,1,6xMags,4795.00,IB,marketplace,,
2005,Yquem,d'Yquem,France,Bordeaux,White,40,Bts,399.00,IB,marketplace,,
2005,Yquem,d'Yquem,France,Bordeaux,White,1,6L,3358.00,IB,marketplace,,
2005,Yquem,d'Yquem,France,Bordeaux,White,4,15L,8595.00,IB,marketplace,,
2005,Yquem,d'Yquem,France,Bordeaux,White,6,6x75cl,2398.00,IB,marketplace,,
2008,Yquem,d'Yquem,France,Bordeaux,White,43,12x75cl,3533.00,IB,marketplace,,
2008,Yquem,d'Yquem,France,Bordeaux,White,11,Bts,295.00,IB,marketplace,,
2008,Yquem,d'Yquem,France,Bordeaux,White,63,6x75cl,1765.00,IB,marketplace,,
2011,Yquem,d'Yquem,France,Bordeaux,White,1,12x75cl,2993.00,IB,marketplace,,
2011,Yquem,d'Yquem,France,Bordeaux,White,2,Mags,499.00,IB,marketplace,,
2011,Yquem,d'Yquem,France,Bordeaux,White,20,3L,1023.00,IB,marketplace,,
2011,Yquem,d'Yquem,France,Bordeaux,White,17,6L,2096.00,IB,marketplace,,
2000,Oreno,Tenuta Sette Ponti,Italy,Central Italy,Red,10,Bts,61.00,IB,marketplace,,
2008,Oreno,Tenuta Sette Ponti,Italy,Central Italy,Red,1,12x75cl,787.00,IB,marketplace,,
2008,Oreno,Tenuta Sette Ponti,Italy,Central Italy,Red,5,6x75cl,392.00,IB,immediate/marketplace,,
2010,Oreno,Tenuta Sette Ponti,Italy,Central Italy,Red,2,Mags,271.00,IB,marketplace,,
2010,Oreno,Tenuta Sette Ponti,Italy,Central Italy,Red,3,6x75cl,812.00,IB,immediate/marketplace,,
1989,Suduiraut Creme de Tete,Suduiraut,France,Bordeaux,White,1,24x37.5cl,2147.00,IB,immediate,,
2007,State Lane Vineyard,Kapcsandy Family Winery,United States,California,Red,4,Bts,407.00,IB,marketplace,,
2007,State Lane Vineyard,Kapcsandy Family Winery,United States,California,Red,2,Mags,813.00,IB,marketplace,,
2007,State Lane Vineyard,Kapcsandy Family Winery,United States,California,Red,1,3L,1664.00,IB,marketplace,,
2008,La Demoiselle de Sociando Mallet,Sociando Mallet,France,Bordeaux,Red,11,12x37.5cl,96.00,IB,marketplace,,
1997,Rabaud Promis,Rabaud Promis,France,Bordeaux,White,5,Bts,33.00,IB,marketplace,,
2005,Rabaud Promis,Rabaud Promis,France,Bordeaux,White,21,12x75cl,725.00,IB,marketplace,,
2009,Rabaud Promis,Rabaud Promis,France,Bordeaux,White,1,12x75cl,334.00,IB,marketplace,,
2002,Les Hauts de Pontet,Pontet Canet,France,Bordeaux,Red,1,12x75cl,301.00,IB,immediate,,
2004,Les Hauts de Pontet,Pontet Canet,France,Bordeaux,Red,2,6x75cl,162.00,IB,marketplace,,
2006,Les Hauts de Pontet,Pontet Canet,France,Bordeaux,Red,1,12x75cl,439.00,IB,immediate,,
2008,Les Hauts de Pontet,Pontet Canet,France,Bordeaux,Red,1,6x75cl,171.00,DP,immediate,,
1937,Cabannieux,Cabannieux,France,Bordeaux,Red,1,Bts,299.00,IB,marketplace,,
2004,Aalto,Aalto,Spain,Ribera del Duero,Red,4,Bts,78.00,IB,marketplace,,
2011,Couhins-Lurton,Couhins-Lurton,France,Bordeaux,Red,10,6x75cl,119.00,IB,marketplace,,
2007,Trinity Hill Homage Syrah,Trinity Hill,New Zealand,Hawkes Bay,Red,2,6x75cl,330.00,IB,immediate/marketplace,,
1990,Grifi,Avignonesi,Italy,Central Italy,Red,2,Mags,129.00,IB,marketplace,,
0,Michel Fallon Ozanne Blanc de Blanc,Michel Fallon,France,Champagne,White,1,Bts,315.00,IB,marketplace,,
0,Reliquia Pedro Ximenez,Bodegas Barbadillo,Spain,Jerez,White,1,Bts,489.00,IB,immediate,,
1891,Massandra Malaga Lividia,Massandra,Ukraine,Massandra,,1,70cl,3090.00,IB,immediate,,
2008,Grand Vin de Glenelly,Glenelly Estate,South Africa,Stellenbosch,Red,6,6x75cl,153.00,IB,immediate,,
2005,Semeillan-Mazeau,Semeillan-Mazeau,France,Bordeaux,Red,1,Bts,23.00,IB,marketplace,,
1999,Calvari,Miani,Italy,Northern Italy,Red,1,6x75cl,2843.00,DP,immediate,Label: Slightly Bin Soiled,
2006,Calvari,Miani,Italy,Northern Italy,Red,9,Bts,673.00,IB,marketplace,,
2006,Calvari,Miani,Italy,Northern Italy,Red,1,6x75cl,4038.00,IB,immediate,,
2002,Clos St Martin,Clos St Martin,France,Bordeaux,Red,16,12x75cl,310.00,IB,marketplace,,
2005,Clos St Martin,Clos St Martin,France,Bordeaux,Red,15,12x75cl,1695.00,IB,immediate/marketplace,,
2005,Clos St Martin,Clos St Martin,France,Bordeaux,Red,1,6xMags,1695.00,IB,marketplace,,
2005,Clos St Martin,Clos St Martin,France,Bordeaux,Red,6,Bts,143.00,IB,marketplace,,
2005,Clos St Martin,Clos St Martin,France,Bordeaux,Red,37,6x75cl,850.00,IB,marketplace,,
2007,Clos St Martin,Clos St Martin,France,Bordeaux,Red,27,12x75cl,339.00,IB,marketplace,,
2009,Clos St Martin,Clos St Martin,France,Bordeaux,Red,4,12x75cl,1043.00,IB,immediate,,
2010,Clos St Martin,Clos St Martin,France,Bordeaux,Red,4,12x75cl,778.00,IB,immediate,,
2010,Clos St Martin,Clos St Martin,France,Bordeaux,Red,1,6x75cl,387.00,IB,immediate,,
1998,Shiraz The Dead Arm,d'Arenberg,Australia,South Australia,Red,2,6x75cl,417.00,IB,marketplace,,
2002,Shiraz The Dead Arm,d'Arenberg,Australia,South Australia,Red,2,12x75cl,635.00,IB,marketplace,,
2002,Shiraz The Dead Arm,d'Arenberg,Australia,South Australia,Red,2,6xMags,635.00,IB,marketplace,,
2005,La Clemence,La Clemence,France,Bordeaux,Red,32,12x75cl,731.00,IB,marketplace,,
1985,La Gaffeliere,La Gaffeliere,France,Bordeaux,Red,1,6x75cl,608.00,IB,marketplace,,
1985,La Gaffeliere,La Gaffeliere,France,Bordeaux,Red,3,3x75cl,305.00,IB,marketplace,,
1993,La Gaffeliere,La Gaffeliere,France,Bordeaux,Red,3,Bts,67.00,IB,marketplace,,
1998,La Gaffeliere,La Gaffeliere,France,Bordeaux,Red,1,6x75cl,469.00,IB,marketplace,,
1999,La Gaffeliere,La Gaffeliere,France,Bordeaux,Red,1,12x75cl,818.00,IB,marketplace,,
2001,La Gaffeliere,La Gaffeliere,France,Bordeaux,Red,6,Bts,83.00,IB,marketplace,,
2002,La Gaffeliere,La Gaffeliere,France,Bordeaux,Red,4,12x75cl,615.00,IB,marketplace,,
2002,La Gaffeliere,La Gaffeliere,France,Bordeaux,Red,5,Bts,54.00,IB,marketplace,,
2004,La Gaffeliere,La Gaffeliere,France,Bordeaux,Red,2,12x75cl,911.00,IB,marketplace,,
2004,La Gaffeliere,La Gaffeliere,France,Bordeaux,Red,3,Bts,79.00,IB,marketplace,,
2005,La Gaffeliere,La Gaffeliere,France,Bordeaux,Red,1,5L,1562.00,IB,marketplace,,
2008,La Gaffeliere,La Gaffeliere,France,Bordeaux,Red,1,Bts,71.00,IB,marketplace,,
2010,La Gaffeliere,La Gaffeliere,France,Bordeaux,Red,1,6xMags,1220.00,IB,marketplace,,
2010,La Gaffeliere,La Gaffeliere,France,Bordeaux,Red,6,6x75cl,610.00,IB,marketplace,,
2012,La Gaffeliere,La Gaffeliere,France,Bordeaux,Red,2,3L,208.00,IB,marketplace,,
2011,Noa,Cusumano,Italy,Southern Italy & Sicily,Red,7,3x75cl,70.00,IB,marketplace,,
2008,En Chamberlin Vineyard Syrah,Cayuse Vineyards,United States,Washington,Red,2,Bts,218.00,IB,marketplace,,
1990,Sperss,Gaja,Italy,Northern Italy,Red,1,Bts,383.00,IB,marketplace,,
1991,Sperss,Gaja,Italy,Northern Italy,Red,3,Bts,184.00,IB,marketplace,,
1995,Sperss,Gaja,Italy,Northern Italy,Red,11,Bts,263.00,IB,marketplace,,
1995,Sperss,Gaja,Italy,Northern Italy,Red,2,3L,1075.00,IB,marketplace,,
1995,Sperss,Gaja,Italy,Northern Italy,Red,2,3x3L,3225.00,IB,marketplace,,
1995,Sperss,Gaja,Italy,Northern Italy,Red,7,5L,1793.00,IB,marketplace,,
1996,Sperss,Gaja,Italy,Northern Italy,Red,1,Bts,338.00,IB,marketplace,,
1997,Sperss,Gaja,Italy,Northern Italy,Red,2,Bts,466.00,IB,marketplace,,
1997,Sperss,Gaja,Italy,Northern Italy,Red,4,Bts,466.00,DP,immediate,,
1997,Sperss,Gaja,Italy,Northern Italy,Red,1,4x75cl,1865.00,IB,marketplace,,
1998,Sperss,Gaja,Italy,Northern Italy,Red,2,Bts,253.00,IB,marketplace,,
1998,Sperss,Gaja,Italy,Northern Italy,Red,2,6x75cl,1513.00,IB,marketplace,,
2001,Sperss,Gaja,Italy,Northern Italy,Red,2,Bts,303.00,IB,marketplace,,
2001,Sperss,Gaja,Italy,Northern Italy,Red,1,Mags,605.00,IB,marketplace,,
2003,Sperss,Gaja,Italy,Northern Italy,Red,3,Bts,236.00,IB,marketplace,,
2008,Sperss,Gaja,Italy,Northern Italy,Red,1,3L,841.00,IB,marketplace,,
1975,Mazeyres,Mazeyres,France,Bordeaux,Red,1,Bts,73.00,IB,marketplace,,
1996,Vigna Larigi,Elio Altare,Italy,Northern Italy,Red,1,Bts,81.00,IB,marketplace,,
2005,Vigna Larigi,Elio Altare,Italy,Northern Italy,Red,3,6x75cl,496.00,IB,marketplace,,
0,Moet & Chandon,Moet & Chandon,France,Champagne,White,6,Bts,35.00,IB,marketplace,,
1990,Moet & Chandon,Moet & Chandon,France,Champagne,White,1,Mags,649.00,IB,marketplace,,
2002,Moet & Chandon,Moet & Chandon,France,Champagne,White,2,6x75cl,475.00,IB,immediate,,
1996,Pagodes de Cos,Cos d'Estournel,France,Bordeaux,Red,1,12x75cl,650.00,IB,immediate,,
2005,Pagodes de Cos,Cos d'Estournel,France,Bordeaux,Red,4,Mags,123.00,IB,marketplace,,
2006,Pagodes de Cos,Cos d'Estournel,France,Bordeaux,Red,1,6xMags,513.00,IB,marketplace,,
2009,Pagodes de Cos,Cos d'Estournel,France,Bordeaux,Red,4,12x75cl,645.00,IB,immediate,,
2010,Pagodes de Cos,Cos d'Estournel,France,Bordeaux,Red,3,12x75cl,716.00,IB,marketplace,,
2010,Pagodes de Cos,Cos d'Estournel,France,Bordeaux,Red,2,Bts,63.00,IB,marketplace,,
2011,Pagodes de Cos,Cos d'Estournel,France,Bordeaux,Red,10,12x75cl,400.00,IB,marketplace,,
2011,Pagodes de Cos,Cos d'Estournel,France,Bordeaux,Red,4,Bts,37.00,IB,marketplace,,
2011,Pagodes de Cos,Cos d'Estournel,France,Bordeaux,Red,1,6x75cl,202.00,IB,immediate,,
2012,Pagodes de Cos,Cos d'Estournel,France,Bordeaux,Red,14,12x75cl,400.00,IB,marketplace,,
2007,Niederhauser Hermannshohle Auslese,Weingut Donnhoff,Germany,Nahe,White,2,12x37.5cl,277.00,IB,marketplace,,
2007,Niederhauser Hermannshohle Auslese,Weingut Donnhoff,Germany,Nahe,White,1,6x75cl,270.00,IB,immediate,,
2010,Clos Vougeot,Domaine Jean-Jacques Confuron,France,Burgundy,Red,1,Mags,785.00,IB,marketplace,,
2005,Clos Vougeot,Joseph Drouhin,France,Burgundy,Red,1,3x75cl,854.00,IB,marketplace,,
2012,Clos Vougeot,Joseph Drouhin,France,Burgundy,Red,1,3x75cl,539.00,IB,marketplace,,
2012,Clos Vougeot,Joseph Drouhin,France,Burgundy,Red,1,6x75cl,1078.00,IB,marketplace,,
1988,Clos Vougeot,Rene Engel,France,Burgundy,Red,1,Bts,2771.00,IB,marketplace,,
1988,Clos Vougeot,Rene Engel,France,Burgundy,Red,1,Bts,2771.00,IB,marketplace,Level: 3.5-4.4cm,
1999,Clos Vougeot,Rene Engel,France,Burgundy,Red,3,Bts,3327.00,IB,marketplace,,
1999,Clos Vougeot,Rene Engel,France,Burgundy,Red,1,Bts,3327.00,IB,marketplace,Label: Bin Soiled,
2005,Clos Vougeot,Domaine Jacques Prieur,France,Burgundy,Red,1,6x75cl,1622.00,IB,marketplace,,
2005,Clos Vougeot,Domaine Jacques Prieur,France,Burgundy,Red,8,Bts,271.00,IB,marketplace,,
2006,Clos Vougeot,Louis Jadot,France,Burgundy,Red,1,12x75cl,1447.00,IB,marketplace,,
2006,Clos Vougeot,Louis Jadot,France,Burgundy,Red,35,Bts,123.00,IB,marketplace,,
2007,Clos Vougeot,Louis Jadot,France,Burgundy,Red,3,Bts,129.00,IB,marketplace,,
2009,Clos Vougeot,Louis Jadot,France,Burgundy,Red,3,Bts,134.00,IB,marketplace,,
2009,Clos Vougeot,Louis Jadot,France,Burgundy,Red,2,12x75cl,1580.00,IB,marketplace,,
2009,Clos Vougeot,Louis Jadot,France,Burgundy,Red,9,6x75cl,793.00,IB,marketplace,,
2010,Clos Vougeot,Louis Jadot,France,Burgundy,Red,1,3x3L,1371.00,IB,marketplace,,
2010,Clos Vougeot,Louis Jadot,France,Burgundy,Red,1,Bts,114.00,IB,marketplace,,
2012,Clos Vougeot,Louis Jadot,France,Burgundy,Red,1,Bts,142.00,IB,marketplace,,
2012,Clos Vougeot,Louis Jadot,France,Burgundy,Red,5,6x75cl,841.00,IB,marketplace,,
2006,Clos Vougeot,Domaine Jean Grivot,France,Burgundy,Red,1,12x75cl,1928.00,DP,marketplace,,
2008,Clos Vougeot,Domaine Jean Grivot,France,Burgundy,Red,1,6xMags,2788.00,IB,marketplace,,
2008,Clos Vougeot,Domaine Jean Grivot,France,Burgundy,Red,1,3xMags,1393.00,IB,marketplace,,
2012,Clos Vougeot,Drouhin-Laroze,France,Burgundy,Red,1,Bts,124.00,IB,marketplace,,
2012,Clos Vougeot,Drouhin-Laroze,France,Burgundy,Red,1,6x75cl,728.00,IB,marketplace,,
2005,Clos Vougeot,Faiveley,France,Burgundy,Red,6,Bts,189.00,IB,marketplace,,
2010,Clos Vougeot,Faiveley,France,Burgundy,Red,1,3xMags,773.00,IB,marketplace,,
2011,Clos Vougeot,Faiveley,France,Burgundy,Red,2,6x75cl,949.00,IB,marketplace,,
2011,Clos Vougeot,Faiveley,France,Burgundy,Red,2,Bts,160.00,IB,marketplace,,
2012,Clos Vougeot,Francois Parent,France,Burgundy,Red,1,6x75cl,889.00,IB,marketplace,,
2010,Clos Vougeot,Chateau de la Tour,France,Burgundy,Red,1,12x75cl,1968.00,IB,marketplace,,
1985,Clos Vougeot,Remoissenet Pere & Fils,France,Burgundy,Red,1,6x75cl,2252.00,DP,immediate,,
2010,Clos Vougeot,Meo-Camuzet,France,Burgundy,Red,11,Bts,399.00,IB,marketplace,,
2005,Clos Vougeot,Domaine de la Vougeraie,France,Burgundy,Red,10,12x75cl,2221.00,IB,marketplace,,
1990,Barolo Le Gramolere,Giovanni Manzone,Italy,Northern Italy,Red,6,Bts,83.00,IB,marketplace,,
1990,Barolo Le Gramolere,Giovanni Manzone,Italy,Northern Italy,Red,1,6x75cl,482.00,IB,marketplace,,
1997,Beaune Cent Vignes,Albert Morot,France,Burgundy,Red,1,Bts,89.00,IB,marketplace,,
1990,Veuve Clicquot la Grande Dame,Veuve Clicquot,France,Champagne,White,4,Bts,351.00,IB,marketplace,,
1990,Veuve Clicquot la Grande Dame,Veuve Clicquot,France,Champagne,White,1,3L,1440.00,IB,marketplace,,
2000,Lynch Moussas,Lynch Moussas,France,Bordeaux,Red,1,12x75cl,379.00,IB,marketplace,,
2001,Lynch Moussas,Lynch Moussas,France,Bordeaux,Red,1,Bts,44.00,IB,marketplace,,
2001,Lynch Moussas,Lynch Moussas,France,Bordeaux,Red,32,6x75cl,244.00,IB,marketplace,,
2009,Lynch Moussas,Lynch Moussas,France,Bordeaux,Red,3,12x75cl,458.00,IB,immediate,,
2010,Lynch Moussas,Lynch Moussas,France,Bordeaux,Red,1,Bts,46.00,IB,marketplace,,
2010,Lynch Moussas,Lynch Moussas,France,Bordeaux,Red,88,6x75cl,257.00,IB,marketplace,,
2011,Lynch Moussas,Lynch Moussas,France,Bordeaux,Red,1,12x75cl,374.00,IB,marketplace,,
2005,Aurus,Finca Allende,Spain,Rioja,Red,4,6x75cl,838.00,IB,marketplace,,
1976,Wehlener Sonnenuhr Riesling Trockenbeerenauslese,Joh. Jos. Prum,Germany,Mosel,White,5,70cl,4376.00,IB,marketplace,,
1989,Wehlener Sonnenuhr Riesling Trockenbeerenauslese,Joh. Jos. Prum,Germany,Mosel,White,1,Bts,4127.00,IB,marketplace,,
2011,Wehlener Sonnenuhr TBA,Markus Molitor,Germany,,White,10,Bts,1615.00,IB,marketplace,,
2007,Cami de Cormes,Roig Parals,Spain,Emporda,Red,2,6x75cl,70.00,IB,immediate,,
2007,Cami de Cormes,Roig Parals,Spain,Emporda,Red,2,6x75cl,70.00,DP,immediate,,
1990,Potensac,Potensac,France,Bordeaux,Red,6,12x75cl,753.00,IB,marketplace,,
1990,Potensac,Potensac,France,Bordeaux,Red,1,6x75cl,377.00,IB,marketplace,,
2000,Potensac,Potensac,France,Bordeaux,Red,1,6xMags,463.00,IB,marketplace,,
2000,Potensac,Potensac,France,Bordeaux,Red,1,6x75cl,232.00,IB,marketplace,,
2001,Potensac,Potensac,France,Bordeaux,Red,5,12x75cl,462.00,IB,marketplace,,
2001,Potensac,Potensac,France,Bordeaux,Red,1,Bts,42.00,IB,marketplace,,
2001,Potensac,Potensac,France,Bordeaux,Red,1,6x75cl,232.00,IB,marketplace,,
2002,Potensac,Potensac,France,Bordeaux,Red,2,6xMags,345.00,IB,marketplace,,
2006,Potensac,Potensac,France,Bordeaux,Red,5,12x75cl,273.00,IB,marketplace,,
2006,Potensac,Potensac,France,Bordeaux,Red,1,6xMags,273.00,IB,marketplace,,
2006,Potensac,Potensac,France,Bordeaux,Red,4,Bts,26.00,IB,marketplace,,
2006,Potensac,Potensac,France,Bordeaux,Red,1,6x75cl,138.00,IB,marketplace,,
2007,Potensac,Potensac,France,Bordeaux,Red,50,6xMags,243.00,IB,marketplace,,
2007,Potensac,Potensac,France,Bordeaux,Red,4,Hlvs,14.00,IB,marketplace,,
